,state,feature_id,dam_name,stream_name,watershed_huc2,region,latitude,longitude,StrOrder,TotDA.SqKm,AvgAnnualQ.CS,dam_length_m,Removal_year,Built_year,DamPurpose,DamMaterial,DamMaterialCat,dam_height_m,HtCategory,number_removed_project,project_identifier,multi_dam_flag,DR_Cost,RemovalReason,SedimentManagement,ContaminatedSediment,MitigationDrivers,PostRemovalDrivers,TOTAL_DRIVERS,SD_score,MD_score,PR_score,Tot_Drivers,CostEst_StAdj
1,AK,c33b5ece-57ba-4c3c-ba0f-f0145432180f,Davidson Ditch Diversion Dam,Chatanika River,Alaska Region,Northwest,65.2928,-146.404,NA,NA,NA,NA,2002,NA,water supply,sheet piling,1,NA,less than 5,1,NA,0,262490,Restoration,NA,NA,NA,NA,0,0,0,0,0,248552.4779
2,AK,d26ed015-6d00-47fb-b409-3868c8dee741,Lower Eklutna River Dam,Eklutna,Alaska Region,Northwest,61.449393,-149.32388,NA,NA,NA,NA,2017,1929,power,concrete,3,21.3,greater than 10,1,NA,0,8237360,"Safety,Restoration","ErosionControl,Sed removal",NA,CofferDam,"Revegetation,EcologicalMonitoring,Fish.Passage,StrucRemovalSafety,Access.Roads",8,2,1,5,8,7799978.053
3,AL,a896aa21-0a18-4905-9d65-c628f4e6bcaf,Livingston Dam,Sucarnoochee River,South Atlantic-Gulf Region,Southeast,32.588457,-88.197545,5,1557.1458,27.22172126,28,2019,1979,water supply,concrete,3,NA,less than 5,1,NA,0,50517,"Safety,Restoration",NA,NA,CofferDam,"EcologicalMonitoring,StrucRemovalSafety",3,0,1,2,3,60059.1
4,AL,22af5f9e-5e46-488b-be0e-367cad269142,Marvel Slab Dam,Cahaba River,South Atlantic-Gulf Region,Southeast,33.165092,-87.029534,6,1443.7737,26.52914782,66.5,2004,1970,other,concrete,3,1.5,less than 5,1,NA,0,355106,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,422181.5778
5,AZ,975c5ab6-013d-4182-a6f8-f70e9074c479,Fossil Creek Dam,Fossil Creek,Lower Colorado Region,Southwest,34.4213,-111.5759,3,151.0542,0.668136005,16.5,2008,1909,power,"concrete, masonry",3,7.9,between 5 and 10,1,NA,0,16905765,Restoration,NA,NA,NA,"Eradicate.Invasives,StrucRemovalSafety,Other",3,0,0,3,3,18648627.37
6,CA,8320bfca-ead9-4fa1-aa6f-83368c6892eb,Hjfd11,Holy Jim Creek,California Region,Southwest,33.68381514,-117.515112,2,8.2764,0.052046365,NA,2018,NA,recreation and resource management,masonry,3,0.3,less than 5,18,HJC002,1,2652,Restoration,NA,NA,NA,NA,0,0,0,0,0,2288.419355
7,CA,22041872-c729-4afe-9c62-b0368535f087,Benbow Dam,South Fork Eel River,California Region,Southwest,40.0666,-123.7961,5,1132.2486,53.89188697,83,2016,1931,power,concrete,3,6.1,between 5 and 10,1,NA,0,2868097,Restoration,NA,0,"CofferDam,BankProtection","Revegetation,Stability.Structures,Access.Roads,Public.Interpr.Facility",7,0,2,4,6,2474890.153
8,CA,64f22fc4-9e98-49d6-9fe0-e327414f0e72,Mcgowan Dam,Butte Creek,California Region,Southwest,NA,NA,NA,NA,NA,NA,1998,NA,water supply,concrete,3,1.8,less than 5,4,BC001,1,2912716,Restoration,NA,NA,WaterSupply,NA,1,0,1,0,1,2513392.032
9,CA,b337bb01-adf1-4e74-b78f-0aa2afab21b5,Scfd12,Silverado Creek,California Region,Southwest,33.75222714,-117.568092,2,10.197,0.063146569,NA,2017,NA,recreation and resource management,masonry,3,1.2,less than 5,4,SC001,1,52719,Restoration,NA,NA,NA,NA,0,0,0,0,0,45491.39516
10,CA,848252a1-32d1-4095-ada5-39ec81660a61,Araujo Dam,Shasta River,California Region,Southwest,41.68764,-122.53,5,943.137,12.98505831,9,2007,1856,water supply,concrete,3,NA,less than 5,1,NA,0,3863837,Restoration,NA,NA,WaterSupply,NA,1,0,1,0,1,3334117.411
11,CA,bb63989b-2156-4f73-8fd1-39402918ac13,Sjfd6,San Juan Creek,California Region,Southwest,33.59081143,-117.5014978,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1,less than 5,10,SJC002,1,2322,Restoration,NA,NA,NA,NA,0,0,0,0,0,2003.66129
12,CA,605d1b84-1fd5-48e6-a720-4a86bf2fc0ce,Unnamed Small Dam #2,Guadalupe River,California Region,Southwest,NA,NA,NA,NA,NA,NA,1998,NA,unknown,unknown,,NA,unknown,2,GR002,1,323202,NA,NA,NA,NA,NA,0,0,0,0,0,278892.0484
13,CA,87c02f29-b8ca-4112-b2bd-09099c9fe152,Wildcat Dam,Battle Creek,California Region,Southwest,40.42024,-121.961,4,481.9068,11.6644172,11.5,2009,1912,"power, water supply",unknown,,2.4,less than 5,1,NA,0,2686704,Restoration,NA,NA,NA,NA,0,0,0,0,0,2318365.548
14,CA,f9610bbb-03a7-4ad9-a052-9c963377f592,Hjfd19,Holy Jim Creek,California Region,Southwest,33.68914814,-117.51172,2,8.2764,0.052046365,NA,2017,NA,recreation and resource management,masonry,3,0.8,less than 5,5,HJC001,1,22304,Restoration,NA,NA,NA,NA,0,0,0,0,0,19246.19355
15,CA,0a3304a2-4573-4fe6-a4da-44394a5c6066,Dennett Dam,Tuolumne River,California Region,Southwest,37.62733,-120.98784,6,4737.5694,85.94848332,33,2018,1933,recreation and resource management,"sheet piling, wood",1,3,less than 5,1,NA,0,1683984,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,1453115.226
16,CA,3233825a-b2d0-4ccf-a168-ccaaf9d7beee,Rodeo Grounds Berm,Topanga Creek,California Region,Southwest,34.04189,-118.57961,3,50.9481,0.294240357,NA,2008,NA,unknown,earth,1,5.5,between 5 and 10,1,NA,0,4291463,Restoration,Sed removal,1,NA,"Revegetation,Eradicate.Invasives,Stability.Structures",5,2,0,3,5,3703117.266
17,CA,f76c640e-7e30-4b8d-a991-7a90d0c2ddfb,Glenbrook Gulch Dam,Glenbrook Gulch (Albion River),California Region,Southwest,39.26526,-123.669,1,2.1771,0.045476856,NA,2010,NA,water supply,earth,1,3,less than 5,1,NA,0,612491,"Safety,Restoration",NA,NA,RiverHabFeature,NA,1,0,1,0,1,528520.4597
18,CA,6b0b9291-a205-492a-9d60-89ce8c27dbed,Hjfd22,Holy Jim Creek,California Region,Southwest,33.69085714,-117.51185,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.5,less than 5,18,HJC002,1,13259,Restoration,NA,NA,NA,NA,0,0,0,0,0,11441.23387
19,CA,6d5154b9-2a4c-4239-a85c-08bd6b67c84d,Hjfd1,Holy Jim Creek,California Region,Southwest,33.67930715,-117.517196,2,8.2764,0.052046365,NA,2018,NA,recreation and resource management,masonry,3,0.8,less than 5,18,HJC002,0,7071,Restoration,NA,NA,NA,NA,0,0,0,0,0,6101.58871
20,CA,e46ff535-498c-4484-a5f3-df4bb8fca752,San Clemente Dam,Carmel River,California Region,Southwest,36.435712,-121.708571,5,329.8554,4.812731316,85.5,2015,1921,water supply,concrete,3,31.7,greater than 10,1,NA,0,98186130,"Safety,Restoration",ReservoirStab,NA,"CofferDam,RiverHabFeature","Revegetation,Fish.Passage,Stability.Structures,Access.Roads",7,1,2,4,7,84725128.31
21,CA,96fe371e-ea6b-4ec5-8c3f-91eaa867a275,Murphy Creek Dam,Murphy Creek,California Region,Southwest,38.234,-121.0266,2,10.3734,0.038680813,50,2003,1975,water supply,earth,1,2.7,less than 5,1,NA,0,1244091,Restoration,NA,NA,NA,Revegetation,1,0,0,1,1,1073530.137
22,CA,593d9892-e191-40c2-ae83-877f307e3261,Sjfd5,San Juan Creek,California Region,Southwest,33.59077823,-117.5015405,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1.5,less than 5,10,SJC002,1,3483,Restoration,NA,NA,NA,NA,0,0,0,0,0,3005.491935
23,CA,6a54af89-c089-4b2b-bdff-92ea2d609a54,Hjfd41,Holy Jim Creek,California Region,Southwest,33.69345114,-117.514226,1,2.1204,0.016990108,NA,2018,NA,recreation and resource management,masonry,3,0.9,less than 5,18,HJC002,1,7955,Restoration,NA,NA,NA,NA,0,0,0,0,0,6864.395161
24,CA,07771ed0-5e67-47b9-9b8c-c9653b6ad72b,Hjfd18,Holy Jim Creek,California Region,Southwest,33.68899014,-117.511759,2,8.2764,0.052046365,NA,2017,NA,recreation and resource management,masonry,3,1.1,less than 5,5,HJC001,1,30668,Restoration,NA,NA,NA,NA,0,0,0,0,0,26463.51613
25,CA,101b96e9-5355-4282-a94c-3608fcdb4bad,Scfd10,Silverado Creek,California Region,Southwest,33.75190814,-117.570491,2,10.197,0.063146569,NA,2017,NA,recreation and resource management,masonry,3,2.3,less than 5,4,SC001,0,101045,Restoration,NA,NA,NA,NA,0,0,0,0,0,87192.05645
26,CA,4661c39e-33ec-4d1c-892b-0b13b4ebecf3,Sjfd11,San Juan Creek,California Region,Southwest,33.59060515,-117.499826,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1.2,less than 5,4,SJC001,1,5957,Restoration,NA,NA,NA,NA,0,0,0,0,0,5140.314516
27,CA,a50c6f0d-4339-43c9-8746-dbbe20577a38,Beale Dam,Dry Creek,California Region,Southwest,39.108423,-121.338499,4,206.2161,2.785386655,46,2020,1943,recreation and resource management,concrete ,3,3.7,less than 5,1,NA,0,3436500,"Safety,Restoration,Economic","ReservoirStab,Sed removal",NA,"CofferDam,RiverHabFeature,Bridges,Roads",Revegetation,7,2,4,1,7,2965366.935
28,CA,eb263e4c-c8be-4036-9d0a-bf897f876377,Hjfd21,Holy Jim Creek,California Region,Southwest,33.69067414,-117.511821,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,2.2,less than 5,18,HJC002,1,19446,Restoration,NA,NA,NA,NA,0,0,0,0,0,16780.01613
29,CA,b834929e-784d-4ccc-ad50-35de6beee18c,Hall Wines Dam,Dry Creek,California Region,Southwest,38.37706,-122.316,3,74.8701,1.229234328,16.5,2008,1960,water supply,concrete,3,NA,unknown,1,NA,0,390133,Restoration,NA,NA,BankProtection,"ReshapeTopography,Revegetation",3,0,1,2,3,336647.0242
30,CA,0775b4e3-3795-4eaa-8411-41d78831c5d8,Hjfd40,Holy Jim Creek,California Region,Southwest,33.69344114,-117.514166,1,2.1204,0.016990108,NA,2018,NA,recreation and resource management,masonry,3,0.8,less than 5,18,HJC002,1,7071,Restoration,NA,NA,NA,NA,0,0,0,0,0,6101.58871
31,CA,fdbb266c-b679-45f8-9122-7442b4556130,Cahill Dam,Branciforte Creek,California Region,Southwest,37.03797,-121.986,1,10.0521,0.166644645,NA,2013,1931,"recreation and resource management, water supply","concrete, masonry",3,2.4,less than 5,1,NA,0,261271,Restoration,NA,NA,NA,NA,0,0,0,0,0,225451.5887
